,Job_name,Company_name
0, Memar ,"  ""Azərmemarlayihə"" Dövlət Baş Layihə İnstitutu "
1, Yaradıcı memar ,"  ""Azərmemarlayihə"" Dövlət Baş Layihə İnstitutu "
2, Konstruktor ,"  ""Azərmemarlayihə"" Dövlət Baş Layihə İnstitutu "
3, Satış məsləhətçisi (Elektronika –Ağdaş) ,  ELIT.EO 
4, B2B/ Xüsusi Əhəmiyyətli Şirkətlərə Satış üzrə Koordinator , T Telecom Company 
5, Accountant , C Company 
6, Hüquqşünas , T Toca Residence 
7, Keyfiyyetin idararəetmə sistemi üzrə mütəxəssis , D Deluks Kamin 
8, Satış meneceri , R Rocco Group 
9, Sistem Administratoru ,  A - Group Insurance Company 
10, Kredit İnzibatçılığı üzrə Kiçik Mütəxəssis ,  PASHA Bank 
11, Prosesləri̇n i̇darə olunmasi üzrə baş mütəxəssi̇s , N NBA Technologies International LLC 
12, HR Assistant ,  The International Committee of the Red Cross (ICRC) 
13, Strategiya üzrə ekspert ,  PASHA Capital 
14, Telemarketinq üzrə mütəxəssis , A Autopegasus 
15, Kredit Risklərinin İdarə Edilməsi üzrə Baş Mütəxəssis ,  PASHA Bank 
16, Директор по персоналу (HRD) , M Mərtəbələr MMC 
17, Satış üzrə assistent ,  PASHA Bank 
18, Permit to Work Engineer , S SOCAR Downstream Management 
19, Aparıcı mühasib ,  Baku Design Academy 
20, Multiple Positions ,  North West Construction 
21, Kuryer , O ODONTOS LTD 
22, WMS / AİS (Anbar İdarəetmə Sistemi) üzrə təcrübəçi ,  Avromed Company QSC 
23, Агент по продаже недвижимости (Маклер) , M Mərtəbələr MMC 
24, Reservations Agent , I Intercontinental Hotel Baku 
25, Metal kontruksiya quraşdırılması üzrə mühəndis ,  Kristal Abşeron 
26, Risklərinin idarə edilməsi bölməsinin Baş Mütəxəssisi ,  PASHA Capital 
27, Əməliyyatlar üzrə mütəxəssis ,  Cagir.az 
28, Mühasib-operator , I İsmixanlı MMC 
29, Aparıcı mühasib , A Alphakids 
30, Korporativ satış üzrə mütəxəssis ,  Grand Motors Company 
31, Xarici satınalma üzrə mütəxəssis , U Universal Group of Companies 
32, Satış üzrə Menecer ,  Cagir.az 
33, Təchizat üzrə mütəxəssis ,  MKT İstehsalat Kommersiya MMC 
34, Receptionist , A Af Holding 
35, İşə qəbul üzrə mütəxəssis ,  AVT Logistics 
36, Aparıcı mühasib , I İNTEX Audit & Consulting 
37, HR mütəxəssis ,  Green Food Group 
38, Logistics Administrator , U UFAZ 
39, Planlanlama mühəndisi (Qarabağ) ,  North West Construction 
40, Mühasibatlıq üzrə kargüzar ,  Azerbaijan SuperMarket 
41, Korporativ satış üzrə koordinator ,  Caspian Energy Club 
42, Xərclər üzrə mühasib ,  AVT Logistics 
43, Satış üzrə koordinator , A AMET Services 
44, Call-Center Operator , E Elektra AZ 
45, Təsərrüfat işləri üzrə texnik ,  Summer Tour 
46," Senior, Tax & Law Services ",  EY Baku office 
47, Smeta mühəndisi ,  Cronos Construction 
48, Credit Control Intern ,  Azerconnect 
49, Anbar üzrə operator (Gürcüstan) , C Company 
50, Portfel idarəçisi ,  PASHA Capital 
51, E- kassa və fiscal xidmət şöbəsinin müdiri , N NBA Technologies International LLC 
52, Marketinq üzrə layihə meneceri , F Foodcity Agropark 
53, Müştəri Meneceri / Özəl Bankçılıq ,  PASHA Bank 
54, Менеджер Смены/Администратор , M Myata Platinum Baku 
55, Biznes proseslərinin inkişafı departamentdə mütəxəssis ,  Azersun Holding 
56, Qəza komissarı (Bakı) ,  PASHA Insurance 
57, Продавец – Консультант ,  Selhome Group 
58, Kateqoriya müdiri , A ATS Food 
59, Руководитель отдела по административным вопросам ,  Carlsberg Azerbaijan 
60, Baş mühasib ,  Lilac Flower Boutique 
61, SAT müəllimi ,  Puza Academy 
62, Satıcı ,  AZZA Cake House 
63, Aparıcı mühasib , R Ricon MMC 
64, Layihə üzrə mütəxəssis ,  Caspel 
65, Mühafizəçi , G GreenPlast MMC 
66, Косметолог-врач , Y Yves Rocher 
67, Maliyyə meneceri ,  Sara Invest Holding 
68, Mühəndis-mexanik (Gəncə) ,  Dövlət qurumu 
69, Mühafizəçi , Y YARAT Contemporary Art Center 
70, Xidmət mərkəzi məsləhətçisi ,  Autolux Azerbaijan LLC 
71, Marketoloq , G Green Cleaning MMC 
72, Texnoloq , C Company 
73, Kredit İnzibatçılığı üzrə Baş Mütəxəssis ,  PASHA Bank 
74, Merçendayzer , N Nurgun Holding 
75, Hüquqşünas ,  Azersun Holding 
76, Ofisiant ,  Bilgah Beach Hotel 
77, Bazar Riskləri və Risk Hesabatlığı Şöbəsinin Baş Mütəxəssisi ,  Kapital Bank 
78," Tibb işçisi (Tibb bacısı/feldşer, Gəncə) ",  Dövlət qurumu 
79, Mühasib ,  VMF 
80, Math teacher ,  Celt Colleges 
81, Tibb bacısı/qardaşı/feldşer , S Shamakhi Palace Sharadil Hotel 
82, Mühasib köməkçisi ,  AZZA Cake House 
83, Head of Digital Marketing ,  Code Academy 
84, Повар-Фаст Фуд ,  Restaurants by Emin Agalarov 
85, SPA və İstirahət şöbəsində Massajçı (Therapist) ,  Bilgah Beach Hotel 
86, Texniki işlər üzrə mütəxəssis , A Alliance Property Management Group 
87, Satış assistenti , U Universal Group of Companies 
88, MERN Stack Developer ,  Oawo 
89, Tərcüməçi ,  MKT İstehsalat Kommersiya MMC 
90, Əmək haqqının hesablanması üzrə mühasib ,  AZZA Cake House 
91, Повар горячего цеха ,  Restaurants by Emin Agalarov 
92, Pul vəsaitlərinin idarə olunması üzrə aparıcı mühasib ,  OBA marketlər şəbəkəsi 
93, Avtokar sürücüsü , A Azconstruction QSC 
94, Riyaziyyat müəllimi (Rus və ingilis bölmələri üzrə) ,  StudyLab 
95, Bəyannaməçi / Broker , B Baku Cargo 
96, 1C Operator , C Caspian Road 
97, Receptionist , F Freedom Finance Azerbaijan 
98, Satış məsləhətçisi ,  VMF 
99, MEP üzrə mühəndis , A AZCD Group QSC 
100, Tax Associate ,  BDO Azerbaijan LLC 
101, Lab Technician (Online Analyzers - QMI) , S SOCAR Downstream Management 
102, Müştəri münasibətləri üzrə kiçik mütəxəssis / mütəxəssis ,  PASHA Insurance 
